name,scan,slice,source,n_prelabels
P50_1_rec000738,P50_1,738,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000738.tif,47
P50_1_rec000754,P50_1,754,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000754.tif,47
P50_1_rec000776,P50_1,776,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000776.tif,52
P50_1_rec000790,P50_1,790,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000790.tif,43
P50_1_rec000804,P50_1,804,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000804.tif,43
P50_1_rec000826,P50_1,826,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000826.tif,47
P50_1_rec000836,P50_1,836,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000836.tif,47
P50_1_rec000850,P50_1,850,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000850.tif,42
P50_1_rec000876,P50_1,876,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000876.tif,54
P50_1_rec000896,P50_1,896,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000896.tif,49
P50_1_rec000898,P50_1,898,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000898.tif,47
P50_1_rec000916,P50_1,916,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000916.tif,47
P50_3sr_rec000140,P50_3sr,140,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000140.png,47
P50_3sr_rec000160,P50_3sr,160,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000160.png,44
P50_3sr_rec000165,P50_3sr,165,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000165.png,46
P50_3sr_rec000177,P50_3sr,177,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000177.png,50
P50_3sr_rec000187,P50_3sr,187,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000187.png,51
P50_3sr_rec000203,P50_3sr,203,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000203.png,57
P50_3sr_rec000222,P50_3sr,222,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000222.png,53
P50_3sr_rec000227,P50_3sr,227,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000227.png,52
P50_3sr_rec000240,P50_3sr,240,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000240.png,51
P50_3sr_rec000263,P50_3sr,263,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000263.png,53
P50_3sr_rec000272,P50_3sr,272,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000272.png,55
P50_3sr_rec000279,P50_3sr,279,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000279.png,49
P50_3sr_rec000303,P50_3sr,303,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000303.png,53
P50_3sr_rec000312,P50_3sr,312,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000312.png,53
P50_3sr_rec000329,P50_3sr,329,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000329.png,58
P50_3sr_rec000333,P50_3sr,333,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000333.png,58
P50_3sr_rec000346,P50_3sr,346,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000346.png,53
P50_3sr_rec000367,P50_3sr,367,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000367.png,54
P50_3sr_rec000377,P50_3sr,377,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000377.png,54
P50_3sr_rec000391,P50_3sr,391,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000391.png,49
P50_3sr_rec000398,P50_3sr,398,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000398.png,57
P50_3sr_rec000413,P50_3sr,413,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000413.png,61
P50_3sr_rec000430,P50_3sr,430,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000430.png,61
P50_3sr_rec000444,P50_3sr,444,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000444.png,58
P50_3sr_rec000454,P50_3sr,454,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000454.png,52
P50_3sr_rec000464,P50_3sr,464,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000464.png,50
P50_3sr_rec000482,P50_3sr,482,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000482.png,53
P50_3sr_rec000499,P50_3sr,499,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000499.png,49
P50_3sr_rec000511,P50_3sr,511,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000511.png,57
P50_3sr_rec000524,P50_3sr,524,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000524.png,59
P50_3sr_rec000530,P50_3sr,530,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000530.png,55
P50_3sr_rec000551,P50_3sr,551,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000551.png,54
P50_3sr_rec000557,P50_3sr,557,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000557.png,58
P50_3sr_rec000572,P50_3sr,572,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000572.png,55
P50_3sr_rec000589,P50_3sr,589,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000589.png,53
P50_3sr_rec000602,P50_3sr,602,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000602.png,62
P50_3sr_rec000610,P50_3sr,610,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000610.png,59
P50_3sr_rec000625,P50_3sr,625,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000625.png,54
P50_3sr_rec000639,P50_3sr,639,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000639.png,61
P50_3sr_rec000651,P50_3sr,651,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000651.png,57
P50_3sr_rec000658,P50_3sr,658,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000658.png,58
P50_3sr_rec000673,P50_3sr,673,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000673.png,46
P50_3sr_rec000686,P50_3sr,686,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000686.png,55
P50_3sr_rec000697,P50_3sr,697,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000697.png,56
P50_3sr_rec000714,P50_3sr,714,rawdata/OneDrive_2026-08-14_(2)/P50 3 Prox Tail SR Reconstructed/P50_3_Tail_Proximal-Real_rec_Tra00000714.png,51
P21_3_rec000205,P21_3,205,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000205.tif,43
P21_3_rec000215,P21_3,215,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000215.tif,39
P21_3_rec000221,P21_3,221,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000221.tif,32
P21_3_rec000225,P21_3,225,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000225.tif,34
P21_3_rec000234,P21_3,234,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000234.tif,38
P21_3_rec000238,P21_3,238,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000238.tif,36
P21_3_rec000243,P21_3,243,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000243.tif,38
P21_3_rec000250,P21_3,250,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000250.tif,37
P21_3_rec000261,P21_3,261,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000261.tif,41
P21_3_rec000268,P21_3,268,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000268.tif,37
P21_3_rec000269,P21_3,269,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000269.tif,42
P21_3_rec000277,P21_3,277,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000277.tif,35
P21_3_rec000282,P21_3,282,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000282.tif,35
P21_3_rec000289,P21_3,289,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000289.tif,35
P21_3_rec000297,P21_3,297,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000297.tif,40
P21_3_rec000302,P21_3,302,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000302.tif,37
P21_3_rec000312,P21_3,312,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000312.tif,39
P21_3_rec000316,P21_3,316,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000316.tif,39
P21_3_rec000323,P21_3,323,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000323.tif,39
P21_3_rec000333,P21_3,333,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000333.tif,45
P21_3_rec000337,P21_3,337,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000337.tif,44
P21_3_rec000342,P21_3,342,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000342.tif,40
P21_3_rec000351,P21_3,351,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000351.tif,40
P21_3_rec000355,P21_3,355,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00000355.tif,42
P21_3_rec001332,P21_3,1332,rawdata/OneDrive_2026-08-14_(1)/P21 3 Prox Tail HR/P21 3 Prox Tail HR_rec00001332.tif,38
